manta_path,xiris_path,P,V,L,H
1707152505157437900.png,1707152505159236600.png,0.0,0.0,0.0,0.0
1707152505168502400.png,1707152505159236600.png,0.0,0.0,0.0,0.0
1707152505168502400.png,1707152505175929900.png,0.0,0.0,0.04166666666666663,0.06557377049180324
1707152505179543100.png,1707152505175929900.png,0.0,0.0,0.04166666666666663,0.06557377049180324
1707152505191042600.png,1707152505175929900.png,0.0,0.0,0.04166666666666663,0.06557377049180324
1707152505191042600.png,1707152505192557500.png,0.0,0.0,0.059523809523809534,0.09836065573770492
1707152505202163500.png,1707152505192557500.png,0.0,0.0,0.059523809523809534,0.09836065573770492
1707152505202163500.png,1707152505209197200.png,0.0,0.0,0.0714285714285714,0.1311475409836066
1707152505213470700.png,1707152505209197200.png,0.0,0.0,0.0714285714285714,0.1311475409836066
1707152505224599000.png,1707152505209197200.png,0.0,0.0,0.0714285714285714,0.1311475409836066
1707152505224599000.png,1707152505226906200.png,0.0,0.0,0.08333333333333331,0.16393442622950816
1707152505236143500.png,1707152505226906200.png,0.0,0.0,0.08333333333333331,0.16393442622950816
1707152505236143500.png,1707152505244090700.png,0.0,0.0,0.09523809523809523,0.180327868852459
1707152505247362300.png,1707152505244090700.png,0.0,0.0,0.09523809523809523,0.180327868852459
1707152505258497700.png,1707152505244090700.png,0.0,0.0,0.09523809523809523,0.180327868852459
1707152505258497700.png,1707152505260532700.png,0.0,0.0,0.1071428571428571,0.19672131147540983
1707152505269832200.png,1707152505260532700.png,0.0,0.0,0.1071428571428571,0.19672131147540983
1707152505269832200.png,1707152505277194300.png,0.0,0.0,0.11904761904761901,0.2295081967213115
1707152505281218200.png,1707152505277194300.png,0.0,0.0,0.11904761904761901,0.2295081967213115
1707152505292575700.png,1707152505277194300.png,0.0,0.0,0.11904761904761901,0.2295081967213115
1707152505292575700.png,1707152505295386300.png,0.0,0.0,0.11904761904761901,0.2295081967213115
1707152505303684200.png,1707152505295386300.png,0.0,0.0,0.11904761904761901,0.2295081967213115
1707152505303684200.png,1707152505311704400.png,0.0,0.0,0.11904761904761901,0.24590163934426235
1707152505314908300.png,1707152505311704400.png,0.0,0.0,0.11904761904761901,0.24590163934426235
1707152505326176100.png,1707152505311704400.png,0.0,0.0,0.11904761904761901,0.24590163934426235
1707152505326176100.png,1707152505327479300.png,0.0,0.0,0.11904761904761901,0.2622950819672132
1707152505337599900.png,1707152505327479300.png,0.0,0.0,0.11904761904761901,0.2622950819672132
1707152505337599900.png,1707152505343317700.png,0.0,0.0,0.125,0.2786885245901639
1707152505348827100.png,1707152505343317700.png,0.0,0.0,0.125,0.2786885245901639
1707152505360290400.png,1707152505343317700.png,0.0,0.0,0.125,0.2786885245901639
1707152505360290400.png,1707152505361022100.png,0.0,0.0,0.14285714285714285,0.2786885245901639
